X1	X2	Y	IQ	T	Sex	R
16.00	18.25	17.96	83.00	52.00	1.00	1.00
9.50	11.00	10.00	64.00	39.00	1.00	1.00
19.00	18.50	17.82	83.00	58.00	1.00	1.00
19.00	18.00	18.79	79.00	58.00	1.00	1.00
15.50	18.25	18.43	94.00	51.00	1.00	1.00
14.00	15.00	14.96	71.00	48.00	1.00	1.00
14.50	16.50	15.19	73.00	49.00	1.00	1.00
13.00	14.75	15.79	73.00	46.00	1.00	1.00
17.00	15.00	16.71	79.00	54.00	1.00	1.00
14.25	15.50	16.45	72.00	48.50	2.00	1.00
11.00	13.00	14.36	56.00	42.00	2.00	1.00
5.00	7.75	12.76	53.00	30.00	2.00	1.00
19.00	18.75	17.98	76.00	58.00	2.00	1.00
18.00	18.25	18.92	88.00	56.00	2.00	1.00
19.75	20.00	19.35	93.00	59.50	1.00	2.00
7.00	8.50	11.64	62.00	34.00	1.00	2.00
11.00	16.25	17.39	85.00	52.00	1.00	2.00
15.00	14.25	14.99	69.00	50.00	1.00	2.00
11.25	15.00	15.41	76.00	42.50	2.00	2.00
18.25	17.75	18.24	88.00	56.50	2.00	2.00
17.50	19.00	17.64	78.00	55.00	2.00	2.00
12.00	13.00	13.46	74.00	44.00	2.00	2.00
18.00	19.00	18.34	88.00	56.00	2.00	2.00
20.00	19.00	20.00	91.00	60.00	2.00	2.00
12.00	14.50	14.39	73.00	44.00	2.00	2.00
16.75	18.00	17.94	81.00	53.50	1.00	3.00
6.50	9.00	11.49	59.00	33.00	1.00	3.00
16.25	18.00	17.36	82.00	52.50	1.00	3.00
18.00	19.25	19.23	91.00	56.00	2.00	3.00
8.00	11.00	12.84	62.00	36.00	2.00	3.00
19.75	20.00	18.46	86.00	59.50	2.00	3.00
18.00	18.50	18.49	87.00	56.00	2.00	3.00
16.00	17.25	17.36	81.00	52.00	2.00	3.00
16.00	17.50	16.75	81.00	52.00	2.00	3.00
